Nirvana,Feminino
Nisa,Feminino
Norma,Feminino
Ofélia,Feminino
Olga,Feminino
Olinda,Feminino
Orquídea,Feminino
Otília,Feminino
Palmira,Feminino
Pandora,Feminino
Papoila,Feminino
Paris,Feminino
Patrícia,Feminino
Paula,Feminino
Paulina,Feminino
Peculiar,Feminino
Penélope,Feminino
Piedade,Feminino
Pilar,Feminino
Prudência,Feminino
Pureza,Feminino
Rachel,Feminino
Rafa,Feminino
Raiana,Feminino
Raquel,Feminino
Raul,Feminino
Rebeca,Feminino
Regina,Feminino
Rida,Feminino
Rimas,Feminino
Rita,Feminino
Romana,Feminino
Rosa,Feminino
Rosália,Feminino
Rosalina,Feminino
Rosário,Feminino
Rose,Feminino
Rosita,Feminino
Rubi,Feminino
Rute,Feminino
Ruth,Feminino
Sabrina,Feminino
Sacha,Feminino
Safira,Feminino
Saga,Feminino
Sally,Feminino
Salomé,Feminino
Sana,Feminino
Sandra,Feminino
Saneia,Feminino
Sara,Feminino
Sarah,Feminino
Sarai,Feminino
Savana,Feminino
Seara,Feminino
Sena,Feminino
Serena,Feminino
Sibila,Feminino
Sílvia,Feminino
Simone,Feminino
Sisa,Feminino
Sofia,Feminino
Solene,Feminino
Sónia,Feminino
Susana,Feminino
Tânia,Feminino
Tara,Feminino
Tatiana,Feminino
Teodora,Feminino
Teresa,Feminino
Tiara,Feminino
Tida,Feminino
Tina,Feminino
Tracy,Feminino
Túlipa,Feminino
Valeria,Feminino
Vanda,Feminino
Vanessa,Feminino
Vânia,Feminino
Vera,Feminino
Verónica,Feminino
Victoria,Feminino
Vida,Feminino
Viera,Feminino
Viola,Feminino
Violeta,Feminino
Virgínia,Feminino
Vitoria,Feminino
Vitória,Feminino
Vitorina,Feminino
Zélia,Feminino
Zita,Feminino
Zoei,Feminino
Zoe-Marie,Feminino
Zulmira,Feminino
Abraão,Masculino
Abraham,Masculino
Acácio,Masculino
Adalberto,Masculino
Adam,Masculino
Adão,Masculino
Adelino,Masculino
Adelson,Masculino
Adem,Masculino
Adérito,Masculino
Adolfo,Masculino
Adónis,Masculino
Adriano,Masculino
Adulai,Masculino
Afonso,Masculino
Agostinho,Masculino
Aires,Masculino
Albano,Masculino
Albert,Masculino
Alberto,Masculino
Albino,Masculino
Alcino,Masculino
Alexandre,Masculino
Alexandrino,Masculino
Alfa,Masculino
Alfredo,Masculino
Aliou,Masculino
Alípio,Masculino
Álvaro,Masculino
Alvim,Masculino
Amadeu,Masculino
Amador,Masculino
Amâncio,Masculino
Amândio,Masculino
Amar,Masculino
Amaro,Masculino
Amílcar,Masculino
Anastácio,Masculino
André,Masculino
Andy,Masculino
Angélico,Masculino
Ângelo,Masculino
Aníbal,Masculino
Anis,Masculino
Anselmo,Masculino
Antero,Masculino
Antoine,Masculino
António,Masculino
Apolo,Masculino
Aquiles,Masculino
Arcanjo,Masculino
Aristides,Masculino
Arlindo,Masculino
Armando,Masculino
Arménio,Masculino
Armindo,Masculino
Arnaldo,Masculino
Arsénio,Masculino
Artur,Masculino
Asse,Masculino
Assis,Masculino
Augusto,Masculino
Aurélio,Masculino
Avelino,Masculino
Baltasar,Masculino
Baltazar,Masculino
Bambo,Masculino
Belarmino,Masculino
Belchior,Masculino
Belmiro,Masculino
Benjamim,Masculino
Benjamin,Masculino
Bento,Masculino
Bernard,Masculino
Bernardo,Masculino
Brandão,Masculino
Bruce,Masculino
Bruno,Masculino
Caetano,Masculino
Caio,Masculino
Cairo,Masculino
Calvin,Masculino
Camilo,Masculino
Cândido,Masculino
Carmim,Masculino
Casimiro,Masculino
Cassiano,Masculino
Celestino,Masculino
Celso,Masculino
César,Masculino
Cesário,Masculino
Charles,Masculino
Charles-David,Masculino
Chico,Masculino
Christian,Masculino
Christopher,Masculino
Cícero,Masculino
Cláudio,Masculino
Clemente,Masculino
Connor,Masculino
Constantino,Masculino
Cristiano,Masculino
Cristóvão,Masculino
Cruz,Masculino
Curtis,Masculino
Custódio,Masculino
Dalton,Masculino
Damião,Masculino
Daniel,Masculino
Dante,Masculino
Dario,Masculino
David,Masculino
Davidson,Masculino
Delfim,Masculino
Diamantino,Masculino
Dias,Masculino
Didier,Masculino
Diego,Masculino
Dinis,Masculino
Diogo,Masculino
Dionísio,Masculino
Dirceu,Masculino
Domingos,Masculino
Douglas,Masculino
Duarte,Masculino
Dylan,Masculino
Éden,Masculino
Edgar,Masculino
Edmund,Masculino
Edmundo,Masculino
Eduardo,Masculino
Egas,Masculino
Egídio,Masculino
Elias,Masculino
Elísio,Masculino
Elói,Masculino
Emanuel,Masculino
Emídio,Masculino
Emile,Masculino
Emiliano,Masculino
Emílio,Masculino
Erasmo,Masculino
Ernesto,Masculino
Estêvão,Masculino
Eugénio,Masculino
Eurico,Masculino
Eusébio,Masculino
Evans,Masculino
Ezequiel,Masculino
Faustino,Masculino
Fausto,Masculino
Feliciano,Masculino
Felisberto,Masculino
Félix,Masculino
Feliz,Masculino
Fernando,Masculino
Fernão,Masculino
Figo,Masculino
Filipe,Masculino
Firmino,Masculino
Flávio,Masculino
Fortunato,Masculino
Francis,Masculino
Francisco,Masculino
François,Masculino
Frank,Masculino
Fred,Masculino
Frederico,Masculino
Gabriel,Masculino
Gaio,Masculino
Galileu,Masculino
Galo,Masculino
Gaspar,Masculino
Gastão,Masculino
Gentil,Masculino
George,Masculino
Geraldo,Masculino
Gilberto,Masculino
Giovanni,Masculino
Gonçalo,Masculino
Gonzaga,Masculino
Guilherme,Masculino
Gustavo,Masculino
Hamilton,Masculino
Harold,Masculino
Heitor,Masculino
Hélder,Masculino
Hélio,Masculino
Henrique,Masculino
Henry,Masculino
Herculano,Masculino
Hércules,Masculino
Hermano,Masculino
Hermenegildo,Masculino
Hermínio,Masculino
Hernâni,Masculino
Hilário,Masculino
Horácio,Masculino
Hugo,Masculino
Humberto,Masculino
Ícaro,Masculino
Ilídio,Masculino
Inácio,Masculino
Infante,Masculino
Inocêncio,Masculino
Isaac,Masculino
Isaías,Masculino
Isidro,Masculino
Ismael,Masculino
Israel,Masculino
Ivan,Masculino
Jacinto,Masculino
Jack,Masculino
Jackson,Masculino
Jacob,Masculino
Jacques,Masculino
Jaime,Masculino
James,Masculino
Januário,Masculino
Janus,Masculino
Jazz,Masculino
Jean,Masculino
Jefferson,Masculino
Jeremias,Masculino
Jerónimo,Masculino
Jesualdo,Masculino
Jesus,Masculino
Joan,Masculino
João,Masculino
Joel,Masculino
John,Masculino
Joio,Masculino
Jonas,Masculino
Jordan,Masculino
Jordano,Masculino
Jorge,Masculino
Joseph,Masculino
Josué,Masculino
Juan,Masculino
Jules,Masculino
Julian,Masculino
Julião,Masculino
Júlio,Masculino
Júnior,Masculino
Justino,Masculino
Justo,Masculino
Kelvin,Masculino
Kennedy,Masculino
Laurentino,Masculino
Lawrence,Masculino
Lázaro,Masculino
Leandro,Masculino
Lenine,Masculino
Leonard,Masculino
Leonardo,Masculino
Leonel,Masculino
Leónidas,Masculino
Leopoldo,Masculino
Lewis,Masculino
Liam,Masculino
Licínio,Masculino
Lincoln,Masculino
Lino,Masculino
Lobo,Masculino
Lopo,Masculino
Louca,Masculino
Loucas,Masculino
Louis,Masculino
Lourenço,Masculino
Lucas,Masculino
Luciano,Masculino
Lúcio,Masculino
Ludovico,Masculino
Luigi,Masculino
Magno,Masculino
Mago,Masculino
Malaquias,Masculino
Mamede,Masculino
Manuel,Masculino
Marcel,Masculino
Marcelino,Masculino
Marcelo,Masculino
Márcio,Masculino
Marco,Masculino
Marcos,Masculino
Marcus,Masculino
Mariano,Masculino
Marino,Masculino
Mário,Masculino
Mark,Masculino
Marques,Masculino
Martim,Masculino
Martin,Masculino
Martinho,Masculino
Martins,Masculino
Matei,Masculino
Mateus,Masculino
Matias,Masculino
Matusalém,Masculino
Maurício,Masculino
Mauro,Masculino
Maximiano,Masculino
Maximiliano,Masculino
Máximo,Masculino
Maxwell,Masculino
Messias,Masculino
Michael,Masculino
Miguel,Masculino
Moisés,Masculino
Montgomery,Masculino
Morgan,Masculino
Neil,Masculino
Nelson,Masculino
Nemésio,Masculino
Nick,Masculino
Nico,Masculino
Nicolas,Masculino
Nicolau,Masculino
Nilo,Masculino
Nino,Masculino
Nuno,Masculino
Oceano,Masculino
Octávio,Masculino
Oliver,Masculino
Omar,Masculino
Onofre,Masculino
Orlando,Masculino
Óscar,Masculino
Osvaldo,Masculino
Otávio,Masculino
Owen,Masculino
Papa,Masculino
Pape,Masculino
Pascoal,Masculino
Patrício,Masculino
Patrick,Masculino
Paul,Masculino
Paul-Alexandre,Masculino
Paulo,Masculino
Pedro,Masculino
Philippe,Masculino
Pierre,Masculino
Plínio,Masculino
Policarpo,Masculino
Prince,Masculino
Prudêncio,Masculino
Quentin,Masculino
Rafael,Masculino
Raimundo,Masculino
Ramires,Masculino
Ramiro,Masculino
Ramon,Masculino
Ramón,Masculino
Ramsés,Masculino
Reinaldo,Masculino
Renato,Masculino
Ricardo,Masculino
Richard,Masculino
Robert,Masculino
Roberto,Masculino
Robin,Masculino
Rodolfo,Masculino
Rogério,Masculino
Romão,Masculino
Romeu,Masculino
Rómulo,Masculino
Ronaldo,Masculino
Roque,Masculino
Rúben,Masculino
Rubis,Masculino
Russel,Masculino
Russell,Masculino
Sage,Masculino
Salomão,Masculino
Salvador,Masculino
Salvatore,Masculino
Samaritano,Masculino
Samba,Masculino
Samoa,Masculino
Samuel,Masculino
Sancho,Masculino
Sansão,Masculino
Santiago,Masculino
Santo,Masculino
Scott,Masculino
Sebastião,Masculino
Seco,Masculino
Serafim,Masculino
Sérgio,Masculino
Severo,Masculino
Sidney,Masculino
Sidónio,Masculino
Silvestre,Masculino
Sílvio,Masculino
Simão,Masculino
Simon,Masculino
Spencer,Masculino
Stanley,Masculino
Stefano,Masculino
Tadeu,Masculino
Tales,Masculino
Talha,Masculino
Taras,Masculino
Taylor,Masculino
Telmo,Masculino
Teodoro,Masculino
Teófilo,Masculino
Teotónio,Masculino
Thomas,Masculino
Thor,Masculino
Tibério,Masculino
Ticiano,Masculino
Timóteo,Masculino
Tino,Masculino
Tito,Masculino
Tobias,Masculino
Tomas,Masculino
Tomás,Masculino
Tome,Masculino
Tomé,Masculino
Toni,Masculino
Tony,Masculino
Tristão,Masculino
Tudor,Masculino
Ulisses,Masculino
Valdemar,Masculino
Valentim,Masculino
Valentino,Masculino
Valério,Masculino
Valter,Masculino
Vasco,Masculino
Ventura,Masculino
Vicente,Masculino
Victor,Masculino
Vinicius,Masculino
Virgílio,Masculino
Viriato,Masculino
Vitalino,Masculino
Vítor,Masculino
Vitorino,Masculino
Vladimir,Masculino
Wagner,Masculino
Walter,Masculino
William,Masculino
Wilson,Masculino
Wolf,Masculino
Xavier,Masculino
Xénon,Masculino
Zacarias,Masculino
Zeferino,Masculino
Pérola,Feminino
Cármen,Feminino
Manha,Feminino
Moira,Feminino
Fanny,Feminino
Violeta-Maria,Feminino
Florença,Feminino
Átila,Feminino
Marilyn,Feminino
Adira,Feminino
Sintra,Feminino
Brisa,Feminino
Senhorinha,Feminino
Gala,Feminino
Judith,Feminino
Preciosa,Feminino
Murphy,Feminino
Fenda,Feminino
Rodrigo,Masculino
Tiago,Masculino
Américo,Masculino
Juliano,Masculino
Ming,Masculino
Bartolomeu,Masculino
Milton,Masculino
Heleno,Masculino
Emir,Masculino
Castelo,Masculino
Unis,Masculino
Aram,Masculino
Olmo,Masculino
Venceslau,Masculino
Henri,Masculino
Euclides,Masculino
Boris,Masculino
Safar,Masculino
Venâncio,Masculino
Romero,Masculino
Allen,Masculino
Cosme,Masculino
Rodrigues,Masculino
Hildebrando,Masculino
